"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PARTEMP","TOT","PC_EMP","A","2001",23.7588616275597,
"AUS","PARTEMP","TOT","PC_EMP","A","2002",24.0278054702807,
"AUS","PARTEMP","TOT","PC_EMP","A","2003",24.3208995631173,
"AUS","PARTEMP","TOT","PC_EMP","A","2004",23.7687720244929,
"AUS","PARTEMP","TOT","PC_EMP","A","2005",23.995148292314,
"AUS","PARTEMP","TOT","PC_EMP","A","2006",23.9303353491081,
"AUS","PARTEMP","TOT","PC_EMP","A","2007",23.7322899011103,
"AUS","PARTEMP","TOT","PC_EMP","A","2008",23.759551599861,
"AUS","PARTEMP","TOT","PC_EMP","A","2009",24.5986349881482,
"AUS","PARTEMP","TOT","PC_EMP","A","2010",24.8453082352086,
"AUS","PARTEMP","TOT","PC_EMP","A","2011",24.6570698881939,
"AUS","PARTEMP","TOT","PC_EMP","A","2012",24.5538678959927,
"AUS","PARTEMP","TOT","PC_EMP","A","2013",24.8726481156617,
"AUS","PARTEMP","TOT","PC_EMP","A","2014",25.1945065244928,
"AUS","PARTEMP","TOT","PC_EMP","A","2015",25.2181197411773,
"AUS","PARTEMP","TOT","PC_EMP","A","2016",25.9030294346493,
"AUT","PARTEMP","TOT","PC_EMP","A","1995",11.0984973904765,
"AUT","PARTEMP","TOT","PC_EMP","A","1996",10.9013181865194,
"AUT","PARTEMP","TOT","PC_EMP","A","1997",10.7720843710453,
"AUT","PARTEMP","TOT","PC_EMP","A","1998",11.4952290661587,
"AUT","PARTEMP","TOT","PC_EMP","A","1999",12.2888994066321,
"AUT","PARTEMP","TOT","PC_EMP","A","2000",11.7456895558189,
"AUT","PARTEMP","TOT","PC_EMP","A","2001",12.6809595163904,
"AUT","PARTEMP","TOT","PC_EMP","A","2002",13.3048220708398,
"AUT","PARTEMP","TOT","PC_EMP","A","2003",13.6831766212456,
"AUT","PARTEMP","TOT","PC_EMP","A","2004",15.3349074687752,
"AUT","PARTEMP","TOT","PC_EMP","A","2005",16.4309884796083,
"AUT","PARTEMP","TOT","PC_EMP","A","2006",16.9588463749308,
"AUT","PARTEMP","TOT","PC_EMP","A","2007",17.3453525465177,
"AUT","PARTEMP","TOT","PC_EMP","A","2008",17.8415867024929,
"AUT","PARTEMP","TOT","PC_EMP","A","2009",18.6880208699726,
"AUT","PARTEMP","TOT","PC_EMP","A","2010",19.1669907692185,
"AUT","PARTEMP","TOT","PC_EMP","A","2011",19.0152489023594,
"AUT","PARTEMP","TOT","PC_EMP","A","2012",19.4366207285099,
"AUT","PARTEMP","TOT","PC_EMP","A","2013",19.8635559789831,
"AUT","PARTEMP","TOT","PC_EMP","A","2014",20.9392366772326,
"AUT","PARTEMP","TOT","PC_EMP","A","2015",21.0265484698466,
"AUT","PARTEMP","TOT","PC_EMP","A","2016",20.8891316346867,
"BEL","PARTEMP","TOT","PC_EMP","A","1983",9.75887045697726,
"BEL","PARTEMP","TOT","PC_EMP","A","1984",10.767511962028,
